FECHA_COMPRA;FECHA_ENTREGA;SUCURSAL;VENDEDOR;PRODUCTO;CANTIDAD;ORDEN;DIAS_ENTREGA
2023-11-22;2024-01-04;SUCURSAL 51;VENDEDOR 123;M-4889;5808;65-8714;43
2023-11-05;2023-12-24;SUCURSAL 22;VENDEDOR 717;O-817;4479;84-6617;49
2023-11-30;2024-01-24;SUCURSAL 14;VENDEDOR 624;O-33;9623;85-3230;55
2023-11-10;2024-01-04;SUCURSAL 30;VENDEDOR 412;Y-8921;7026;79-758;55
2023-11-23;2024-01-31;SUCURSAL 33;VENDEDOR 497;F-1422;6670;71-2530;69
2023-11-25;2023-12-07;SUCURSAL 55;VENDEDOR 806;O-9019;369;75-6342;12
2023-11-25;2024-01-16;SUCURSAL 14;VENDEDOR 23;R-6148;8058;76-5371;52
2023-11-19;2023-12-30;SUCURSAL 44;VENDEDOR 72;Z-2369;9581;70-7855;41
2023-11-27;2024-01-27;SUCURSAL 99;VENDEDOR 645;O-1500;4203;77-9653;61
2023-11-30;2023-12-13;SUCURSAL 39;VENDEDOR 759;W-4657;8050;75-169;13
2023-11-26;2024-01-31;SUCURSAL 92;VENDEDOR 338;G-6856;9448;70-636;66
2023-11-19;2023-12-22;SUCURSAL 49;VENDEDOR 820;A-2003;9440;73-6970;33
2023-11-28;2023-12-16;SUCURSAL 53;VENDEDOR 802;A-1514;4350;85-1516;18
2023-11-12;2024-01-17;SUCURSAL 60;VENDEDOR 669;N-1626;5712;70-5013;66
2023-11-24;2024-01-14;SUCURSAL 75;VENDEDOR 28;J-608;2800;78-6390;51
2023-11-26;2023-12-25;SUCURSAL 38;VENDEDOR 747;E-9346;4419;88-3420;29
2023-11-13;2024-01-05;SUCURSAL 51;VENDEDOR 524;U-2106;2421;83-3644;53
2023-11-06;2023-12-14;SUCURSAL 2;VENDEDOR 251;K-4147;3963;73-8165;38
2023-11-20;2023-12-09;SUCURSAL 99;VENDEDOR 986;H-5060;7038;79-929;19
2023-11-11;2024-01-18;SUCURSAL 1;VENDEDOR 388;G-4289;8735;84-5783;68
2023-11-25;2024-01-15;SUCURSAL 16;VENDEDOR 324;N-4582;4079;80-5165;51
2023-11-11;2024-01-16;SUCURSAL 9;VENDEDOR 111;W-7602;6949;75-1466;66
2023-11-29;2024-01-06;SUCURSAL 43;VENDEDOR 799;O-6721;7891;80-4323;38
2023-11-22;2024-01-19;SUCURSAL 39;VENDEDOR 606;F-6290;1699;71-3155;58
2023-11-15;2023-12-31;SUCURSAL 5;VENDEDOR 982;A-813;7934;80-9987;46
2023-11-06;2023-12-26;SUCURSAL 7;VENDEDOR 929;L-3805;6923;68-6331;50
2023-11-19;2024-01-30;SUCURSAL 83;VENDEDOR 246;R-915;4462;78-8604;72
2023-11-19;2023-12-30;SUCURSAL 20;VENDEDOR 696;Q-3918;662;85-7885;41
2023-11-14;2024-01-16;SUCURSAL 90;VENDEDOR 708;T-6016;3125;78-1129;63
2023-11-23;2024-01-18;SUCURSAL 60;VENDEDOR 538;X-5684;2207;75-6296;56
2023-11-20;2023-12-01;SUCURSAL 31;VENDEDOR 80;Q-839;9227;80-6729;11
2023-11-21;2023-12-27;SUCURSAL 41;VENDEDOR 132;O-5670;3719;83-4822;36
2023-11-22;2024-01-23;SUCURSAL 4;VENDEDOR 346;A-4526;8404;81-6946;62
2023-11-16;2024-01-24;SUCURSAL 59;VENDEDOR 542;Q-9847;1606;71-7877;69
2023-11-24;2024-01-24;SUCURSAL 100;VENDEDOR 922;M-5971;2676;75-1861;61
2023-11-25;2023-12-06;SUCURSAL 78;VENDEDOR 780;T-6955;7119;65-2315;11
2023-11-30;2023-12-18;SUCURSAL 18;VENDEDOR 355;Y-5174;2952;69-9252;18
2023-11-26;2024-01-06;SUCURSAL 27;VENDEDOR 600;N-2599;7492;75-2830;41
2023-11-01;2023-12-11;SUCURSAL 24;VENDEDOR 251;W-8598;1074;82-3955;40
2023-11-05;2024-01-15;SUCURSAL 55;VENDEDOR 525;Z-9369;6467;82-9054;71
2023-11-23;2024-01-11;SUCURSAL 73;VENDEDOR 839;E-5655;6694;69-8456;49
2023-11-24;2023-12-31;SUCURSAL 42;VENDEDOR 134;U-9302;820;71-9070;37
2023-11-17;2024-01-15;SUCURSAL 3;VENDEDOR 772;V-2017;7653;67-8147;59
2023-11-16;2024-01-18;SUCURSAL 42;VENDEDOR 478;I-276;1768;90-6496;63
2023-11-01;2024-01-21;SUCURSAL 16;VENDEDOR 292;Y-8935;7765;85-624;81
2023-11-21;2024-01-30;SUCURSAL 15;VENDEDOR 349;O-9233;5999;88-2235;70
2023-11-08;2023-12-19;SUCURSAL 90;VENDEDOR 265;M-8050;4859;85-2405;41
2023-11-24;2023-12-22;SUCURSAL 8;VENDEDOR 182;S-3240;4081;77-4296;28
2023-11-14;2023-12-04;SUCURSAL 96;VENDEDOR 610;S-9972;1128;75-257;20
2023-11-21;2023-12-26;SUCURSAL 23;VENDEDOR 467;T-2530;3893;85-3363;35
2023-11-05;2024-01-26;SUCURSAL 53;VENDEDOR 129;B-5299;3345;82-5059;82
2023-11-23;2023-12-14;SUCURSAL 11;VENDEDOR 31;B-2787;6051;83-4159;21
2023-11-08;2024-01-23;SUCURSAL 70;VENDEDOR 797;Z-6534;4437;85-2959;76
2023-11-04;2024-01-07;SUCURSAL 53;VENDEDOR 502;J-3843;6213;77-6853;64
2023-11-18;2023-12-26;SUCURSAL 98;VENDEDOR 546;C-9033;6293;89-5387;38
2023-11-07;2023-12-15;SUCURSAL 97;VENDEDOR 529;Y-6045;5507;88-5443;38
2023-11-01;2024-01-12;SUCURSAL 75;VENDEDOR 160;A-3283;2297;66-4013;72
2023-11-30;2023-12-25;SUCURSAL 77;VENDEDOR 300;T-6779;1888;86-9114;25
2023-11-08;2023-12-31;SUCURSAL 91;VENDEDOR 637;V-9143;9659;72-2208;53
2023-11-06;2024-01-26;SUCURSAL 16;VENDEDOR 355;F-2073;8344;67-1629;81
2023-11-27;2023-12-21;SUCURSAL 60;VENDEDOR 979;X-1077;6522;88-7760;24
2023-11-03;2024-01-18;SUCURSAL 73;VENDEDOR 154;Y-1011;9935;79-8;76
2023-11-07;2024-01-19;SUCURSAL 36;VENDEDOR 152;D-4394;4347;66-3569;73
2023-11-23;2023-12-27;SUCURSAL 88;VENDEDOR 571;R-9634;2797;74-2017;34
2023-11-23;2024-01-09;SUCURSAL 93;VENDEDOR 429;S-7312;1604;70-9995;47
2023-11-09;2024-01-23;SUCURSAL 9;VENDEDOR 656;U-9059;9553;83-9849;75
2023-11-14;2023-12-22;SUCURSAL 51;VENDEDOR 619;M-5600;674;88-8685;38
2023-11-20;2024-01-12;SUCURSAL 63;VENDEDOR 90;A-1711;6224;78-3335;53
2023-11-19;2024-01-27;SUCURSAL 82;VENDEDOR 507;P-1749;821;86-524;69
2023-11-29;2023-12-25;SUCURSAL 16;VENDEDOR 325;R-520;7963;85-357;26
2023-11-22;2023-12-21;SUCURSAL 12;VENDEDOR 141;A-6394;5659;78-9050;29
2023-11-13;2024-01-10;SUCURSAL 53;VENDEDOR 867;I-8108;154;90-2935;58
2023-11-09;2024-01-10;SUCURSAL 98;VENDEDOR 972;O-2146;1226;80-335;62
2023-11-18;2024-01-18;SUCURSAL 39;VENDEDOR 442;M-5240;3244;69-16;61
2023-11-19;2023-12-27;SUCURSAL 23;VENDEDOR 377;N-9060;4100;67-9019;38
2023-11-13;2023-12-06;SUCURSAL 74;VENDEDOR 736;Q-7680;1494;72-6239;23
2023-11-11;2024-01-13;SUCURSAL 7;VENDEDOR 608;E-9320;8952;89-9727;63
2023-11-11;2023-12-10;SUCURSAL 37;VENDEDOR 300;C-4083;283;83-6746;29
2023-11-20;2024-01-16;SUCURSAL 75;VENDEDOR 445;W-8902;6206;72-9333;57
2023-11-07;2024-01-15;SUCURSAL 86;VENDEDOR 448;C-5955;2289;68-47;69
2023-11-30;2024-01-29;SUCURSAL 80;VENDEDOR 389;U-879;1560;65-2941;60
2023-11-26;2024-01-13;SUCURSAL 31;VENDEDOR 414;S-9254;8274;82-8893;48
2023-11-29;2023-12-30;SUCURSAL 98;VENDEDOR 640;M-73;9071;76-3393;31
2023-11-11;2023-12-04;SUCURSAL 18;VENDEDOR 185;C-276;7989;89-598;23
2023-11-10;2024-01-29;SUCURSAL 32;VENDEDOR 350;E-7141;6592;69-3397;80
2023-11-04;2024-01-23;SUCURSAL 94;VENDEDOR 393;D-7031;9807;75-2584;80
2023-11-19;2023-12-27;SUCURSAL 63;VENDEDOR 554;Q-2441;7530;84-869;38
2023-11-16;2024-01-07;SUCURSAL 83;VENDEDOR 241;K-6223;9476;68-1248;52
2023-11-20;2024-01-26;SUCURSAL 59;VENDEDOR 439;K-9399;368;83-9545;67
2023-11-05;2023-12-21;SUCURSAL 94;VENDEDOR 171;D-5289;6163;83-3640;46
2023-11-07;2024-01-10;SUCURSAL 87;VENDEDOR 505;K-6523;1037;65-5339;64
2023-11-06;2024-01-30;SUCURSAL 88;VENDEDOR 627;F-2485;648;83-1482;85
2023-11-24;2023-12-09;SUCURSAL 80;VENDEDOR 140;G-3196;4366;66-4622;15
2023-11-17;2024-01-30;SUCURSAL 32;VENDEDOR 488;X-6940;136;72-1800;74
2023-11-24;2023-12-04;SUCURSAL 50;VENDEDOR 236;U-8974;8313;86-9154;10
2023-11-26;2023-12-07;SUCURSAL 15;VENDEDOR 756;A-9285;9828;79-3539;11
2023-11-23;2023-12-27;SUCURSAL 70;VENDEDOR 478;S-2158;2800;85-2933;34
2023-11-17;2024-01-30;SUCURSAL 65;VENDEDOR 714;F-2835;1879;73-6157;74
2023-11-19;2024-01-26;SUCURSAL 48;VENDEDOR 733;T-7094;6545;87-5801;68
2023-11-17;2024-01-17;SUCURSAL 12;VENDEDOR 256;T-2753;4709;71-476;61
2023-11-03;2024-01-24;SUCURSAL 58;VENDEDOR 419;K-4312;7268;67-1028;82
2023-11-24;2023-12-03;SUCURSAL 41;VENDEDOR 292;E-4199;954;70-8303;9
2023-11-08;2024-01-19;SUCURSAL 24;VENDEDOR 429;K-1118;5360;84-2252;72
2023-11-15;2023-12-05;SUCURSAL 16;VENDEDOR 261;D-328;142;79-1156;20
2023-11-10;2023-12-28;SUCURSAL 53;VENDEDOR 900;H-404;8281;74-1620;48
2023-11-01;2023-12-12;SUCURSAL 70;VENDEDOR 719;Y-3814;4033;66-4707;41
2023-11-13;2023-12-22;SUCURSAL 68;VENDEDOR 984;W-2486;3903;65-146;39
2023-11-08;2023-12-15;SUCURSAL 82;VENDEDOR 237;U-4290;6593;70-4393;37
2023-11-05;2024-01-29;SUCURSAL 51;VENDEDOR 786;S-8415;9320;69-6417;85
2023-11-10;2024-01-31;SUCURSAL 10;VENDEDOR 162;M-8877;5357;85-6580;82
2023-11-16;2024-01-03;SUCURSAL 2;VENDEDOR 663;W-1907;3372;78-5706;48
2023-11-27;2023-12-10;SUCURSAL 77;VENDEDOR 439;J-5678;6300;84-1836;13
2023-11-29;2024-01-07;SUCURSAL 13;VENDEDOR 781;S-1432;547;90-2396;39
2023-11-07;2024-01-22;SUCURSAL 50;VENDEDOR 605;H-6845;474;73-6186;76
2023-11-02;2023-12-04;SUCURSAL 37;VENDEDOR 697;T-4509;7277;90-2786;32
2023-11-23;2023-12-30;SUCURSAL 45;VENDEDOR 38;F-4636;5954;78-220;37
2023-11-17;2023-12-06;SUCURSAL 21;VENDEDOR 100;H-2760;7851;90-2978;19
2023-11-10;2023-12-14;SUCURSAL 9;VENDEDOR 475;O-8968;3064;71-8945;34
2023-11-23;2023-12-22;SUCURSAL 1;VENDEDOR 723;F-4751;2375;83-4951;29
2023-11-02;2024-01-05;SUCURSAL 94;VENDEDOR 164;J-9634;7227;84-6757;64
2023-11-13;2024-01-30;SUCURSAL 79;VENDEDOR 743;D-6080;1779;71-5157;78
2023-11-28;2023-12-21;SUCURSAL 40;VENDEDOR 383;K-1533;2216;87-1611;23
2023-11-07;2024-01-06;SUCURSAL 66;VENDEDOR 628;T-218;8873;73-1668;60
2023-11-12;2024-01-27;SUCURSAL 3;VENDEDOR 631;Z-6716;7609;84-1103;76
2023-11-06;2023-12-12;SUCURSAL 6;VENDEDOR 252;L-5254;6484;87-6566;36
2023-11-18;2023-12-17;SUCURSAL 70;VENDEDOR 965;N-6664;360;86-7522;29
2023-11-28;2024-01-23;SUCURSAL 60;VENDEDOR 238;K-7920;3791;72-8687;56
2023-11-03;2023-12-10;SUCURSAL 28;VENDEDOR 470;S-112;6770;79-6536;37
2023-11-19;2024-01-30;SUCURSAL 70;VENDEDOR 871;T-5145;3546;88-4093;72
2023-11-08;2023-12-12;SUCURSAL 43;VENDEDOR 722;A-8641;9979;74-979;34
2023-11-25;2024-01-05;SUCURSAL 83;VENDEDOR 133;G-2326;3105;89-1129;41
2023-11-22;2024-01-12;SUCURSAL 16;VENDEDOR 543;U-3715;2436;70-731;51
2023-11-03;2024-01-05;SUCURSAL 13;VENDEDOR 151;Y-5519;7707;69-98;63
2023-11-19;2024-01-07;SUCURSAL 77;VENDEDOR 615;R-7680;8765;83-4262;49
2023-11-21;2023-12-10;SUCURSAL 85;VENDEDOR 524;Y-7728;6438;68-5268;19
2023-11-06;2024-01-31;SUCURSAL 67;VENDEDOR 271;Q-2575;5336;89-789;86
2023-11-11;2023-12-03;SUCURSAL 23;VENDEDOR 8;Q-7185;4884;76-464;22
2023-11-18;2024-01-10;SUCURSAL 52;VENDEDOR 948;R-1726;4056;85-5329;53
2023-11-09;2023-12-18;SUCURSAL 67;VENDEDOR 199;K-5076;7598;77-73;39
2023-11-06;2023-12-29;SUCURSAL 65;VENDEDOR 78;G-7283;9085;69-6778;53
2023-11-04;2024-01-17;SUCURSAL 34;VENDEDOR 212;Y-8376;4460;75-7709;74
2023-11-07;2023-12-13;SUCURSAL 60;VENDEDOR 94;N-1382;2051;81-4474;36
2023-11-06;2024-01-15;SUCURSAL 37;VENDEDOR 745;Q-8735;5451;73-1523;70
2023-11-20;2023-12-18;SUCURSAL 34;VENDEDOR 901;P-3277;6560;67-2414;28
2023-11-03;2024-01-19;SUCURSAL 41;VENDEDOR 523;G-6704;9744;72-4180;77
2023-11-06;2023-12-01;SUCURSAL 33;VENDEDOR 649;Y-465;8783;87-1327;25
2023-11-13;2024-01-21;SUCURSAL 22;VENDEDOR 86;C-3121;8617;82-5957;69
2023-11-27;2023-12-13;SUCURSAL 48;VENDEDOR 801;P-332;7443;89-8241;16
2023-11-11;2023-12-30;SUCURSAL 5;VENDEDOR 671;Y-3794;8508;71-1223;49
2023-11-21;2024-01-02;SUCURSAL 54;VENDEDOR 556;B-4742;1183;74-9034;42
2023-11-01;2024-01-26;SUCURSAL 38;VENDEDOR 554;H-9011;1685;68-1428;86
2023-11-21;2024-01-11;SUCURSAL 20;VENDEDOR 926;N-4657;595;79-9010;51
2023-11-24;2023-12-18;SUCURSAL 43;VENDEDOR 609;A-2788;2602;72-1404;24
2023-11-26;2023-12-29;SUCURSAL 91;VENDEDOR 680;S-287;371;81-4702;33
2023-11-08;2024-01-11;SUCURSAL 39;VENDEDOR 715;T-5535;9896;79-5945;64
2023-11-14;2023-12-08;SUCURSAL 85;VENDEDOR 499;U-2261;1947;82-9158;24
2023-11-02;2023-12-21;SUCURSAL 23;VENDEDOR 749;O-1250;1436;79-9831;49
2023-11-12;2023-12-10;SUCURSAL 90;VENDEDOR 47;C-4259;8545;71-8230;28
2023-11-13;2024-01-16;SUCURSAL 51;VENDEDOR 828;G-7347;6522;67-4801;64
2023-11-19;2024-01-07;SUCURSAL 99;VENDEDOR 27;I-5405;9663;75-4905;49
2023-11-20;2023-12-15;SUCURSAL 50;VENDEDOR 981;Y-3733;8296;82-1796;25
2023-11-19;2023-12-05;SUCURSAL 66;VENDEDOR 43;Y-1405;6279;73-5590;16
2023-11-08;2024-01-17;SUCURSAL 98;VENDEDOR 164;Q-5517;2889;78-7941;70
2023-11-05;2024-01-24;SUCURSAL 12;VENDEDOR 314;B-5434;3316;90-1286;80
2023-11-18;2023-12-25;SUCURSAL 17;VENDEDOR 992;M-2078;6727;75-496;37
2023-11-19;2023-12-15;SUCURSAL 19;VENDEDOR 519;C-3439;8099;67-5673;26
2023-11-30;2023-12-16;SUCURSAL 38;VENDEDOR 871;V-8426;1831;80-1854;16
2023-11-03;2024-01-14;SUCURSAL 21;VENDEDOR 302;I-2831;5080;82-2553;72
2023-11-25;2024-01-12;SUCURSAL 83;VENDEDOR 142;I-2986;7721;76-5872;48
2023-11-02;2024-01-03;SUCURSAL 33;VENDEDOR 33;X-5171;6177;90-8897;62
2023-11-23;2023-12-17;SUCURSAL 22;VENDEDOR 76;F-8373;3201;65-5695;24
2023-11-03;2023-12-29;SUCURSAL 78;VENDEDOR 102;X-5905;4034;81-9198;56
2023-11-18;2023-12-09;SUCURSAL 40;VENDEDOR 998;C-3215;466;66-6263;21
2023-11-20;2023-12-04;SUCURSAL 83;VENDEDOR 105;L-8691;4442;82-4578;14
2023-11-19;2023-12-15;SUCURSAL 5;VENDEDOR 559;G-7895;9391;66-2120;26
2023-11-05;2024-01-06;SUCURSAL 43;VENDEDOR 453;F-9214;301;67-530;62
2023-11-21;2023-12-28;SUCURSAL 80;VENDEDOR 47;E-3050;2478;88-9932;37
2023-11-03;2024-01-23;SUCURSAL 82;VENDEDOR 659;C-7256;2872;68-7186;81
2023-11-03;2024-01-23;SUCURSAL 27;VENDEDOR 660;B-3405;6989;72-2659;81
2023-11-30;2023-12-17;SUCURSAL 74;VENDEDOR 323;J-1382;9159;80-3054;17
2023-11-06;2024-01-19;SUCURSAL 35;VENDEDOR 243;M-6349;7730;70-5971;74
2023-11-03;2023-12-11;SUCURSAL 7;VENDEDOR 586;B-7708;8996;66-6791;38
2023-11-11;2023-12-29;SUCURSAL 80;VENDEDOR 684;Z-4498;9077;80-6512;48
2023-11-09;2023-12-19;SUCURSAL 94;VENDEDOR 411;D-2772;904;66-6122;40
2023-11-24;2024-01-15;SUCURSAL 37;VENDEDOR 680;L-7612;7672;90-3611;52
2023-11-21;2023-12-26;SUCURSAL 70;VENDEDOR 383;G-358;1745;80-9189;35
2023-11-14;2023-12-22;SUCURSAL 40;VENDEDOR 276;J-2899;4431;68-2829;38
2023-11-01;2024-01-12;SUCURSAL 69;VENDEDOR 389;Y-223;103;83-3761;72
2023-11-26;2024-01-17;SUCURSAL 17;VENDEDOR 799;M-567;6854;65-6988;52
2023-11-18;2024-01-12;SUCURSAL 5;VENDEDOR 845;U-9997;7239;78-2638;55
2023-11-25;2024-01-16;SUCURSAL 29;VENDEDOR 746;F-2090;459;65-8838;52
2023-11-28;2024-01-07;SUCURSAL 57;VENDEDOR 170;X-7309;7125;72-7558;40
2023-11-23;2024-01-22;SUCURSAL 20;VENDEDOR 118;Z-5971;2095;78-5004;60
2023-11-28;2023-12-18;SUCURSAL 51;VENDEDOR 544;A-230;936;65-7343;20
2023-11-21;2024-01-11;SUCURSAL 46;VENDEDOR 928;N-4231;3263;87-7178;51
2023-11-04;2023-12-02;SUCURSAL 62;VENDEDOR 385;H-9892;1508;68-5731;28
2023-11-26;2023-12-31;SUCURSAL 75;VENDEDOR 819;M-8315;2100;71-4388;35
2023-11-08;2023-12-08;SUCURSAL 51;VENDEDOR 826;T-9854;2251;73-2592;30
2023-11-08;2023-12-24;SUCURSAL 51;VENDEDOR 968;M-6787;4899;82-878;46
2023-11-18;2024-01-01;SUCURSAL 84;VENDEDOR 82;W-8491;3816;87-6691;44
2023-11-27;2023-12-27;SUCURSAL 51;VENDEDOR 10;C-7752;3871;81-839;30
2023-11-06;2024-01-07;SUCURSAL 87;VENDEDOR 409;T-4138;9994;80-3985;62
2023-11-22;2024-01-06;SUCURSAL 75;VENDEDOR 54;T-2994;3660;68-9809;45
2023-11-17;2024-01-22;SUCURSAL 42;VENDEDOR 642;E-8170;9393;73-2091;66
2023-11-10;2024-01-04;SUCURSAL 79;VENDEDOR 225;B-2184;674;85-8505;55
2023-11-29;2023-12-11;SUCURSAL 29;VENDEDOR 91;X-8193;6032;83-4195;12
2023-11-30;2023-12-02;SUCURSAL 32;VENDEDOR 992;M-142;2982;89-6251;2
2023-11-20;2023-12-06;SUCURSAL 21;VENDEDOR 152;Z-1046;6960;76-6372;16
2023-11-10;2024-01-26;SUCURSAL 70;VENDEDOR 484;N-3924;9783;69-9837;77
2023-11-28;2023-12-15;SUCURSAL 15;VENDEDOR 55;G-72;5851;69-1235;17
2023-11-17;2023-12-19;SUCURSAL 99;VENDEDOR 476;O-8596;5640;84-4608;32
2023-11-10;2023-12-23;SUCURSAL 68;VENDEDOR 299;U-1479;9416;75-1136;43
2023-11-28;2024-01-10;SUCURSAL 89;VENDEDOR 589;F-6666;9631;81-6486;43
2023-11-09;2024-01-28;SUCURSAL 1;VENDEDOR 574;Q-7800;7213;77-7295;80
2023-11-07;2024-01-27;SUCURSAL 51;VENDEDOR 15;T-4555;8689;74-1691;81
2023-11-30;2023-12-08;SUCURSAL 25;VENDEDOR 475;B-907;4555;66-7455;8
2023-11-11;2023-12-25;SUCURSAL 87;VENDEDOR 191;G-707;9363;66-5898;44
2023-11-30;2023-12-26;SUCURSAL 56;VENDEDOR 332;Q-7694;5507;90-3509;26
2023-11-23;2023-12-30;SUCURSAL 41;VENDEDOR 188;U-2287;3212;88-6338;37
2023-11-04;2024-01-29;SUCURSAL 57;VENDEDOR 766;I-3922;3068;82-5143;86
2023-11-02;2024-01-14;SUCURSAL 8;VENDEDOR 220;F-8674;2769;78-2697;73
2023-11-07;2023-12-06;SUCURSAL 96;VENDEDOR 408;M-8920;6432;85-6055;29
2023-11-23;2023-12-26;SUCURSAL 14;VENDEDOR 72;V-3923;9296;85-7504;33
2023-11-02;2024-01-28;SUCURSAL 93;VENDEDOR 723;D-4766;6941;75-3495;87
2023-11-05;2023-12-14;SUCURSAL 59;VENDEDOR 457;O-1857;4413;66-8191;39
2023-11-03;2023-12-23;SUCURSAL 76;VENDEDOR 392;Z-8741;692;80-7551;50
2023-11-13;2024-01-22;SUCURSAL 94;VENDEDOR 425;H-4129;4203;69-6372;70
2023-11-23;2023-12-07;SUCURSAL 12;VENDEDOR 652;E-1950;5659;69-2112;14
2023-11-16;2023-12-27;SUCURSAL 82;VENDEDOR 662;G-3516;7948;79-9336;41
2023-11-03;2023-12-27;SUCURSAL 97;VENDEDOR 748;U-5984;3194;69-1459;54
2023-11-08;2023-12-06;SUCURSAL 26;VENDEDOR 463;J-9280;2444;86-725;28
2023-11-06;2023-12-27;SUCURSAL 64;VENDEDOR 583;I-4270;1049;78-8632;51
2023-11-17;2023-12-09;SUCURSAL 27;VENDEDOR 627;P-5200;1673;88-7837;22
2023-11-24;2023-12-20;SUCURSAL 32;VENDEDOR 874;S-9344;7511;76-4481;26
2023-11-03;2023-12-13;SUCURSAL 66;VENDEDOR 425;D-1196;5007;70-6566;40
2023-11-06;2023-12-10;SUCURSAL 98;VENDEDOR 975;X-5831;5353;83-8239;34
2023-11-04;2023-12-24;SUCURSAL 73;VENDEDOR 461;P-1551;3260;68-9326;50
2023-11-24;2023-12-17;SUCURSAL 8;VENDEDOR 825;Y-8693;3795;86-9992;23
2023-11-29;2024-01-28;SUCURSAL 47;VENDEDOR 634;L-9930;9877;82-1145;60
2023-11-06;2024-01-25;SUCURSAL 39;VENDEDOR 339;G-2251;8770;87-4709;80
2023-11-01;2023-12-03;SUCURSAL 44;VENDEDOR 259;Z-304;4343;72-8819;32
2023-11-27;2024-01-14;SUCURSAL 66;VENDEDOR 243;T-1961;9172;65-2708;48
2023-11-15;2024-01-09;SUCURSAL 46;VENDEDOR 787;T-2145;8678;84-3489;55
2023-11-18;2024-01-01;SUCURSAL 15;VENDEDOR 886;O-5431;1887;76-7184;44
2023-11-21;2023-12-19;SUCURSAL 15;VENDEDOR 631;G-884;581;82-6585;28
2023-11-16;2024-01-09;SUCURSAL 72;VENDEDOR 910;J-3488;7033;90-7951;54
2023-11-25;2023-12-30;SUCURSAL 57;VENDEDOR 902;F-7016;8470;73-4046;35
2023-11-01;2024-01-19;SUCURSAL 4;VENDEDOR 187;U-2322;2869;78-2841;79
2023-11-23;2023-12-21;SUCURSAL 91;VENDEDOR 898;N-1638;883;90-3705;28
2023-11-20;2024-01-23;SUCURSAL 41;VENDEDOR 786;B-6705;4225;78-3972;64
2023-11-17;2023-12-14;SUCURSAL 90;VENDEDOR 665;M-2602;7318;65-2718;27
2023-11-12;2023-12-06;SUCURSAL 34;VENDEDOR 544;R-6890;6647;66-4940;24
2023-11-17;2023-12-21;SUCURSAL 22;VENDEDOR 216;Z-3783;3413;72-6448;34
2023-11-19;2024-01-14;SUCURSAL 48;VENDEDOR 714;Y-5878;5598;79-7026;56
2023-11-12;2024-01-11;SUCURSAL 3;VENDEDOR 148;L-8384;2204;69-9679;60
2023-11-27;2023-12-15;SUCURSAL 57;VENDEDOR 589;Y-3051;679;70-7410;18
2023-11-15;2023-12-23;SUCURSAL 69;VENDEDOR 906;M-8389;6553;65-2138;38
2023-11-29;2024-01-26;SUCURSAL 31;VENDEDOR 717;H-6034;3180;78-2355;58
2023-11-05;2024-01-22;SUCURSAL 24;VENDEDOR 319;M-8317;1907;75-7149;78
2023-11-12;2024-01-06;SUCURSAL 98;VENDEDOR 917;Z-4266;7867;90-9580;55
2023-11-03;2024-01-23;SUCURSAL 82;VENDEDOR 576;C-8581;3626;78-2176;81
2023-11-29;2024-01-08;SUCURSAL 71;VENDEDOR 312;Z-1136;1006;85-5749;40
2023-11-21;2024-01-15;SUCURSAL 60;VENDEDOR 761;Y-3761;3790;67-7;55
2023-11-29;2024-01-21;SUCURSAL 8;VENDEDOR 254;B-3959;2311;67-3208;53
2023-11-02;2024-01-02;SUCURSAL 10;VENDEDOR 686;P-8085;9655;84-4483;61
2023-11-19;2023-12-12;SUCURSAL 99;VENDEDOR 715;U-2863;5275;69-9319;23
2023-11-06;2024-01-10;SUCURSAL 11;VENDEDOR 719;J-8368;3479;75-7954;65
2023-11-18;2024-01-17;SUCURSAL 32;VENDEDOR 223;A-23;451;78-2029;60
2023-11-13;2024-01-17;SUCURSAL 39;VENDEDOR 187;D-2268;7122;67-8142;65
2023-11-12;2024-01-21;SUCURSAL 19;VENDEDOR 372;L-582;7641;72-4729;70
2023-11-19;2024-01-22;SUCURSAL 35;VENDEDOR 929;A-9318;7367;82-8594;64
2023-11-30;2023-12-21;SUCURSAL 86;VENDEDOR 213;W-2182;3175;73-1949;21
2023-11-14;2023-12-21;SUCURSAL 71;VENDEDOR 623;M-6168;7011;74-2573;37
2023-11-18;2023-12-22;SUCURSAL 1;VENDEDOR 282;K-460;3736;76-9270;34
2023-11-21;2023-12-07;SUCURSAL 97;VENDEDOR 277;J-1702;9812;78-2485;16
2023-11-06;2023-12-11;SUCURSAL 69;VENDEDOR 121;O-7611;5570;80-1435;35
2023-11-07;2023-12-14;SUCURSAL 88;VENDEDOR 77;D-6012;1580;86-4097;37
2023-11-17;2023-12-07;SUCURSAL 76;VENDEDOR 987;P-9503;7228;88-7524;20
2023-11-27;2023-12-09;SUCURSAL 11;VENDEDOR 720;S-3855;6652;68-9879;12
2023-11-14;2024-01-31;SUCURSAL 95;VENDEDOR 328;L-6035;2810;72-4235;78
2023-11-18;2023-12-03;SUCURSAL 52;VENDEDOR 437;O-4777;2235;75-827;15
2023-11-12;2023-12-24;SUCURSAL 57;VENDEDOR 628;P-3644;5006;83-3796;42
2023-11-02;2023-12-02;SUCURSAL 28;VENDEDOR 207;S-4874;9150;74-3824;30
2023-11-25;2024-01-20;SUCURSAL 35;VENDEDOR 367;G-6966;307;75-2068;56
2023-11-02;2023-12-31;SUCURSAL 19;VENDEDOR 902;Y-65;5130;86-662;59
